customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
C00001,56.0,Male,West,nan,Self-Employed,65636.01705187578,24673.6527148514,Business,745.63398112232,nan,44.0,0.18980537715717766,2018-01-28,0
C00002,69.0,Male,West,Bachelor,Business,35939.52590177366,26146.474157096985,Education,529.319674367188,Fair,43.0,0.16260852483745497,2016-02-22,0
C00003,46.0,Male,East,Bachelor,Salaried,85551.21100930189,19589.29470016325,Personal,534.4497705731436,Good,39.0,0.22581761201164258,2018-06-05,0
C00004,32.0,Female,South,High School,Business,106548.2442586819,41274.99277102569,Auto,712.2897953313822,Good,39.0,0.7735351637474976,2018-04-29,0
C00005,60.0,Male,South,Bachelor,Salaried,49032.75398390493,11584.991284606893,Personal,623.7370306487394,Good,40.0,0.1551256847685235,2020-10-18,0
C00006,25.0,Female,South,High School,Self-Employed,76360.13898303545,16828.887192489492,Home,505.576773158125,Fair,37.0,0.29145015667431134,2022-09-11,0
C00007,38.0,Male,East,Bachelor,Salaried,68918.93462949079,36586.36077616582,Personal,645.399938274467,Poor,36.0,0.3165596046962387,2022-09-07,0
C00008,56.0,Male,South,PhD,Salaried,79306.63432254131,16100.88806920013,Home,634.6908811389794,Good,43.0,0.6501638790086032,2015-11-06,0
C00009,36.0,Female,West,High School,Business,53526.06665514299,18897.827227443955,Personal,617.6686642631499,Poor,45.0,0.4413850972547796,2020-05-28,0
C00010,40.0,Female,West,Master,Salaried,80715.77504447059,24041.84641918113,Home,701.4279519861113,Good,43.0,0.26914423990852043,2020-01-16,0
C00011,150.0,Male,South,High School,Salaried,85961.7013022893,31674.611897113704,Personal,550.0103323406302,Good,54.0,0.48210768740752086,2017-04-12,0
C00012,200.0,Male,East,Bachelor,Salaried,82857.48460251924,21420.03105236493,Auto,650.9739061144696,Good,48.0,0.6826336522810916,2021-06-06,0
C00013,12.0,Male,North,High School,Self-Employed,24441.483979287732,11162.55991539668,Auto,634.1770629040672,Fair,48.0,0.7681440895042257,2018-01-07,0
C00014,140.0,Male,North,Bachelor,Salaried,29153.40868462152,15899.231613840895,Business,652.8368920933779,Good,45.0,0.2053007092324331,2022-11-28,0
C00015,160.0,Female,South,High School,Salaried,47769.185696616696,25400.06104902134,Personal,520.0860381397459,Fair,50.0,0.7075082586065689,2018-06-24,0
C00016,150.0,Male,North,Bachelor,Salaried,71687.18521834607,17048.899889265456,Education,610.8013333894994,Good,52.0,0.10384425951903664,2021-06-22,1
C00017,200.0,Male,West,Bachelor,Self-Employed,78979.99008602188,15326.99023118065,Business,651.4826893277921,Fair,41.0,0.715675117716917,2015-08-09,0
C00018,12.0,Male,North,Bachelor,Salaried,38647.82800426996,10680.002224699187,Personal,,Good,45.0,0.6618532855199184,2015-05-10,0
C00019,140.0,Female,South,Bachelor,Salaried,73105.93253165862,31934.823152629637,Education,788.4797379059374,Good,58.0,0.49836659173845566,2018-03-27,0
C00020,160.0,nan,East,PhD,Salaried,88643.22781625582,18784.224822476783,Auto,710.4461291554265,Good,43.0,0.21634228769077699,2017-01-28,0
C00021,150.0,Male,East,Bachelor,Salaried,81700.02184853557,18847.629113993684,Auto,684.5866400475062,Fair,35.0,0.7498666532914059,2015-03-09,0
C00022,200.0,Female,South,High School,Business,53504.21094838425,26798.896747060804,Auto,745.3606094210284,Fair,54.0,0.16099012543951646,2021-01-03,1
